episode,reward
1,-192.70
2,-44.20
3,-52.90
4,-159.80
5,-51.60
6,-133.80
7,-41.90
8,-45.50
9,-53.20
10,-144.80
11,-45.10
12,-53.30
13,-43.40
14,-46.60
15,-257.70
16,-187.80
17,-52.70
18,-52.80
19,-91.80
20,-46.50
21,-51.20
22,-103.80
23,-53.30
24,-50.80
25,-52.90
26,-146.80
27,-52.20
28,-148.80
29,-51.30
30,-50.90
